product_id,category,product_category,brand,price,product_price,margin,product_margin,inventory,rating,review_count,price_elasticity_score,image_feature_vector,text_description,views,clicks,cart_additions,purchases,revenue,avg_discount,competitor_price,inventory_level,ctr,conversion_rate,demand_score,competitor_price_index,current_price,competitor_price_pricing,discount_percentage,margin_pricing,price_elasticity_score_pricing,minimum_margin_threshold,inventory_level_inventory,reorder_point,supplier_lead_time,stockout_flag,demand_forecast,inventory_risk
P000001,Sports,Sports,StrideIQ,100.43,100.43,0.286,0.286,759,4.25,369,1.224,"[0.4367,0.1120,0.3402,0.0339,0.1449,0.3163,-0.7302,-0.1602]","StrideIQ sports item with outdoor design, 369 reviews, and 4.2 average rating.",10,5,1,1,97.91925,0.14066666666666666,100.1152380952381,767.0952380952381,0.5,0.1,0.5594162312519755,0.9968658577639957,100.43,89.69,0.261,0.286,1.224,0.206,759,16,20,0,15.6,normal
P000002,Fashion,Fashion,UrbanThread,49.43,49.43,0.358,0.358,517,4.57,590,0.578,"[-0.2042,0.0993,0.3575,0.4337,0.4838,-0.2127,-0.2820,0.5232]","UrbanThread fashion item with seasonal design, 590 reviews, and 4.6 average rating.",14,3,1,5,203.79989,0.11175,49.41142857142857,504.5357142857143,0.21428571428571427,0.35714285714285715,1.057677475438339,0.9996242883153666,49.43,53.33,0.117,0.358,0.578,0.278,517,30,12,0,27.49,normal
P000003,Grocery,Grocery,KindTable,16.87,16.87,0.289,0.289,397,4.21,149,1.005,"[0.0936,0.3695,-0.1827,0.2698,-0.3910,-0.2144,-0.2255,-0.7063]","KindTable grocery item with pantry design, 149 reviews, and 4.2 average rating.",7,6,2,0,0.0,0.12544444444444444,17.358333333333334,387.5,0.8571428571428571,0.0,0.29772857142857145,1.028946848448923,16.87,17.56,0.046,0.289,1.005,0.209,397,29,7,0,22.83,normal
P000004,Beauty,Beauty,Bloomskin,49.56,49.56,0.381,0.381,155,4.44,357,1.117,"[-0.1423,-0.0268,-0.5672,-0.4864,-0.4446,-0.3352,0.1344,-0.3044]","Bloomskin beauty item with daily care design, 357 reviews, and 4.4 average rating.",3,2,1,2,82.76520000000001,0.12744444444444444,51.50111111111111,161.55555555555554,0.6666666666666666,0.6666666666666666,0.8942421965673161,1.039166890861806,49.56,53.23,0.128,0.381,1.117,0.301,155,14,2,0,16.8,normal
P000005,Electronics,Electronics,PixelForge,298.98,298.98,0.351,0.351,82,4.06,409,1.035,"[0.3255,-0.6691,0.1683,0.0921,-0.2301,-0.5601,0.0279,-0.2051]","PixelForge electronics item with gaming design, 409 reviews, and 4.1 average rating.",8,2,0,2,498.99762,0.12307142857142858,301.265,76.78571428571429,0.25,0.25,0.7161755299006495,1.0076426516823866,298.98,317.89,0.037,0.351,1.035,0.271,82,28,9,0,34.25,normal
P000006,Grocery,Grocery,HarvestHill,19.48,19.48,0.508,0.508,569,4.23,235,1.225,"[0.4915,0.3020,0.1291,0.5292,-0.4299,-0.2314,-0.3351,-0.1410]","HarvestHill grocery item with family size design, 235 reviews, and 4.2 average rating.",17,3,1,2,32.356280000000005,0.1553076923076923,19.32846153846154,564.5384615384615,0.17647058823529413,0.11764705882352941,0.6800990593124142,0.9922208181961776,19.48,19.41,0.204,0.508,1.225,0.428,569,21,18,0,22.56,normal
P000007,Sports,Sports,MotionWorks,48.84,48.84,0.362,0.362,69,4.28,97,1.829,"[0.7409,0.1054,-0.2516,-0.5421,0.0681,-0.2067,-0.1056,-0.1556]","MotionWorks sports item with lightweight design, 97 reviews, and 4.3 average rating.",2,0,0,3,121.90464,0.1336,49.812,50.2,0.0,1.5,1.0522324625039507,1.0199017199017197,48.84,52.45,0.041,0.362,1.829,0.282,69,10,3,0,15.36,normal
P000008,Sports,Sports,StrideIQ,74.35,74.35,0.393,0.393,745,3.43,247,0.985,"[-0.0200,0.6579,0.0485,0.3657,-0.1858,-0.4409,-0.3591,-0.2699]","StrideIQ sports item with training design, 247 reviews, and 3.4 average rating.",11,4,0,2,134.35045,0.1147777777777778,73.285,759.2777777777778,0.36363636363636365,0.18181818181818182,0.7063664389915585,0.9856758574310693,74.35,71.94,0.107,0.393,0.985,0.313,745,17,12,0,14.97,normal
P000009,Electronics,Electronics,VoltEdge,701.08,701.08,0.447,0.447,564,4.32,151,1.136,"[-0.2565,0.1747,-0.1782,-0.4800,-0.5005,0.0676,0.6185,0.0627]","VoltEdge electronics item with gaming design, 151 reviews, and 4.3 average rating.",18,5,2,3,1722.55356,0.1479,682.2733333333333,551.7,0.2777777777777778,0.16666666666666666,0.8423213513928396,0.9731747209067914,701.08,686.34,0.034,0.447,1.136,0.367,564,26,5,0,22.53,normal
P000010,Fashion,Fashion,LinenLane,55.71,55.71,0.484,0.484,472,4.63,309,1.296,"[0.4502,0.0537,-0.3589,-0.4010,0.4839,0.5052,-0.0526,-0.1123]","LinenLane fashion item with premium cotton design, 309 reviews, and 4.6 average rating.",15,6,1,2,102.89636999999999,0.11946153846153845,55.75576923076923,477.61538461538464,0.4,0.13333333333333333,0.7399421965673161,1.0008215622108998,55.71,57.37,0.165,0.484,1.296,0.404,472,17,9,0,20.34,normal
P000011,Home,Home,LumaHome,156.14,156.14,0.492,0.492,455,3.98,152,1.094,"[0.1130,0.4713,0.0303,0.2156,-0.6865,-0.0163,-0.2823,-0.4081]","LumaHome home item with modern design, 152 reviews, and 4.0 average rating.",12,7,3,2,283.23795999999993,0.13238461538461538,155.68730769230768,475.2307692307692,0.5833333333333334,0.16666666666666666,0.7637755299006493,0.9971007281433822,156.14,146.04,0.034,0.492,1.094,0.412,455,22,20,0,19.74,normal
P000012,Grocery,Grocery,NorthPantry,13.35,13.35,0.453,0.453,726,3.94,109,1.039,"[0.5191,0.2785,0.6923,-0.0800,-0.3602,-0.1159,0.1255,0.0914]","NorthPantry grocery item with pantry design, 109 reviews, and 3.9 average rating.",5,3,1,1,11.601149999999999,0.0992857142857143,13.355714285714285,727.6428571428571,0.6,0.2,0.5901162312519753,1.0004280363830926,13.35,13.24,0.112,0.453,1.039,0.373,726,29,7,0,21.31,normal
P000013,Beauty,Beauty,Bloomskin,29.05,29.05,0.398,0.398,667,3.78,911,0.652,"[-0.2011,0.1074,0.4105,-0.2482,-0.2227,-0.7310,-0.0554,-0.3617]","Bloomskin beauty item with hydrating design, 911 reviews, and 3.8 average rating.",9,9,3,3,72.13114999999999,0.11411111111111111,29.083333333333332,663.2222222222222,1.0,0.3333333333333333,1.0038991291706174,1.0011474469305794,29.05,28.95,0.245,0.398,0.652,0.318,667,26,4,0,21.01,normal
P000014,Sports,Sports,Fieldstone,65.15,65.15,0.47,0.47,344,3.52,257,1.874,"[-0.2931,-0.2497,0.4183,0.6615,-0.2668,-0.0839,0.0778,0.3936]","Fieldstone sports item with breathable design, 257 reviews, and 3.5 average rating.",1,2,0,0,0.0,0.14675,67.3,349.0,2.0,0.0,0.5056,1.0330007674597081,65.15,62.18,0.095,0.47,1.874,0.39,344,10,12,0,9.3,normal
P000015,Fashion,Fashion,Arden,41.47,41.47,0.442,0.442,416,4.09,348,1.069,"[-0.1968,0.1715,-0.4103,0.3484,0.7482,0.1148,0.2599,0.0393]","Arden fashion item with premium cotton design, 348 reviews, and 4.1 average rating.",12,8,2,1,30.107219999999998,0.1138888888888889,40.98666666666667,416.85185185185185,0.6666666666666666,0.08333333333333333,0.5846162312519754,0.9883449883449885,41.47,44.65,0.206,0.442,1.069,0.362,416,20,2,0,17.8,normal
P000016,Home,Home,Hearthly,95.0,95.0,0.405,0.405,767,4.83,256,1.281,"[-0.2759,-0.4022,0.4307,0.0950,0.1736,-0.6308,0.3354,0.1643]","Hearthly home item with compact design, 256 reviews, and 4.8 average rating.",14,9,3,10,822.795,0.140825,95.88325,766.4,0.6428571428571429,0.7142857142857143,1.4953814441878381,1.0092973684210527,95.0,107.05,0.134,0.405,1.281,0.325,767,23,9,0,21.58,normal
P000017,Fashion,Fashion,UrbanThread,39.76,39.76,0.401,0.401,745,4.11,280,1.202,"[0.4203,-0.7330,-0.0676,0.0504,0.0845,-0.1062,-0.5017,0.0937]","UrbanThread fashion item with classic design, 280 reviews, and 4.1 average rating.",15,9,0,2,76.10064,0.12932142857142856,39.25,754.8571428571429,0.6,0.13333333333333333,0.7643421965673161,0.9871730382293763,39.76,42.21,0.156,0.401,1.202,0.321,745,29,4,0,24.4,normal
P000018,Electronics,Electronics,Auralux,611.7,611.7,0.449,0.449,338,3.7,222,1.036,"[0.4006,0.1796,0.5339,0.3629,0.1353,0.5374,0.1353,0.2552]","Auralux electronics item with smart design, 222 reviews, and 3.7 average rating.",12,10,3,3,1575.1275,0.1596896551724138,602.4768965517242,337.6551724137931,0.8333333333333334,0.25,0.9514991291706174,0.984922178439961,611.7,663.46,0.092,0.449,1.036,0.369,338,20,17,0,18.78,normal
P000019,Sports,Sports,Fieldstone,70.52,70.52,0.324,0.324,458,4.49,464,1.174,"[0.3722,0.2386,0.5786,0.2322,-0.4996,-0.0213,-0.3724,-0.1647]","Fieldstone sports item with recovery design, 464 reviews, and 4.5 average rating.",3,4,2,3,168.5428,0.16,69.07071428571429,458.5,1.3333333333333333,1.0,1.2251991291706175,0.9794485860140995,70.52,79.31,0.055,0.324,1.174,0.244,458,18,11,0,19.81,normal
P000020,Beauty,Beauty,Aster,70.21,70.21,0.324,0.324,706,3.63,139,0.922,"[0.0990,0.3666,0.1931,-0.7270,0.0966,0.0229,0.1313,0.5128]","Aster beauty item with brightening design, 139 reviews, and 3.6 average rating.",6,3,2,3,196.79863,0.11957142857142856,70.61928571428571,699.7142857142857,0.5,0.5,0.9327324625039507,1.0058294504242375,70.21,68.03,0.07,0.324,0.922,0.244,706,14,7,0,15.16,normal
P000021,Sports,Sports,StrideIQ,38.68,38.68,0.427,0.427,659,4.31,88,0.956,"[0.4884,0.6412,0.1398,0.1407,0.1622,-0.5181,-0.0885,-0.0915]","StrideIQ sports item with outdoor design, 88 reviews, and 4.3 average rating.",5,2,2,2,69.19852,0.08938461538461538,39.107692307692304,669.6923076923077,0.4,0.4,0.7836755299006495,1.011057195131652,38.68,44.37,0.135,0.427,0.956,0.347,659,16,3,0,20.41,normal
P000022,Home,Home,NestForm,108.23,108.23,0.295,0.295,843,3.83,252,0.87,"[0.0650,0.2713,0.0037,0.4270,0.2753,0.2705,0.1780,0.7478]","NestForm home item with minimal design, 252 reviews, and 3.8 average rating.",14,9,3,4,352.18041999999997,0.13321875,108.404375,842.96875,0.6428571428571429,0.2857142857142857,1.0248613463096308,1.0016111521759217,108.23,111.43,0.109,0.295,0.87,0.215,843,13,8,0,19.66,normal
P000023,Grocery,Grocery,HarvestHill,16.79,16.79,0.508,0.508,653,4.71,205,0.724,"[-0.4812,-0.2386,0.1321,0.1575,0.0830,-0.4245,-0.6942,0.0163]","HarvestHill grocery item with organic design, 205 reviews, and 4.7 average rating.",5,3,1,5,69.19159,0.17931249999999999,16.728749999999998,659.5625,0.6,1.0,1.2675917611526248,0.996351995235259,16.79,16.34,0.261,0.508,0.724,0.428,653,15,8,0,20.93,normal
