product_id,current_price,competitor_price,discount_percentage,margin,price_elasticity_score,minimum_margin_threshold
P000001,100.43,89.69,0.261,0.286,1.224,0.206
P000002,49.43,53.33,0.117,0.358,0.578,0.278
P000003,16.87,17.56,0.046,0.289,1.005,0.209
P000004,49.56,53.23,0.128,0.381,1.117,0.301
P000005,298.98,317.89,0.037,0.351,1.035,0.271
P000006,19.48,19.41,0.204,0.508,1.225,0.428
P000007,48.84,52.45,0.041,0.362,1.829,0.282
P000008,74.35,71.94,0.107,0.393,0.985,0.313
P000009,701.08,686.34,0.034,0.447,1.136,0.367
P000010,55.71,57.37,0.165,0.484,1.296,0.404
P000011,156.14,146.04,0.034,0.492,1.094,0.412
P000012,13.35,13.24,0.112,0.453,1.039,0.373
P000013,29.05,28.95,0.245,0.398,0.652,0.318
P000014,65.15,62.18,0.095,0.47,1.874,0.39
P000015,41.47,44.65,0.206,0.442,1.069,0.362
P000016,95.0,107.05,0.134,0.405,1.281,0.325
P000017,39.76,42.21,0.156,0.401,1.202,0.321
P000018,611.7,663.46,0.092,0.449,1.036,0.369
P000019,70.52,79.31,0.055,0.324,1.174,0.244
P000020,70.21,68.03,0.07,0.324,0.922,0.244
P000021,38.68,44.37,0.135,0.427,0.956,0.347
P000022,108.23,111.43,0.109,0.295,0.87,0.215
P000023,16.79,16.34,0.261,0.508,0.724,0.428
P000024,15.33,14.82,0.12,0.436,1.33,0.356
P000025,103.41,114.02,0.182,0.276,1.053,0.196
P000026,205.52,211.67,0.067,0.351,1.284,0.271
P000027,46.43,37.88,0.191,0.365,0.648,0.285
P000028,348.12,343.05,0.269,0.466,1.257,0.386
P000029,245.14,290.3,0.056,0.347,1.512,0.267
P000030,39.64,45.23,0.089,0.414,1.376,0.334
P000031,39.64,37.11,0.177,0.489,0.965,0.409
P000032,23.55,24.21,0.146,0.433,0.82,0.353
P000033,161.72,171.14,0.122,0.305,0.967,0.225
P000034,89.99,93.28,0.149,0.299,1.339,0.219
P000035,56.62,53.69,0.037,0.384,0.928,0.304
P000036,535.53,548.2,0.115,0.36,1.05,0.28
P000037,370.04,331.7,0.312,0.248,1.232,0.168
P000038,67.55,69.02,0.088,0.423,1.302,0.343
P000039,104.1,112.71,0.052,0.418,0.33,0.338
P000040,51.15,55.47,0.015,0.26,1.035,0.18
