event_id,user_id,session_id,timestamp,event_type,product_id,product_category,product_price,discount_percentage,competitor_price,inventory_level,rating,review_count,user_location,device_type,search_query,dwell_time_seconds,page_position,purchase_label,return_label,promotion_flag,holiday_flag,seasonality_factor
E000000640,U000036,S0036-20250101-58,2025-01-01 02:30:00,click,P000039,Home,104.1,0.041,91.44,249,4.74,195,TX,mobile,fast shipping modern home,18,1,0,0,0,0,0.991
E000000522,U000079,S0079-20250101-37,2025-01-01 02:55:00,view,P000009,Electronics,701.08,0.071,734.3,507,4.32,151,CO,mobile,discount wireless electronics,36,3,0,0,0,0,0.991
E000000109,U000019,S0019-20250101-12,2025-01-01 03:42:00,purchase,P000013,Beauty,29.05,0.026,27.79,657,3.78,911,TX,mobile,top rated brightening beauty,72,3,1,0,0,0,0.991
E000000181,U000032,S0032-20250101-84,2025-01-01 04:17:00,purchase,P000038,Fashion,67.55,0.115,67.5,358,3.54,137,IL,mobile,fast shipping streetwear fashion,53,72,1,0,0,0,0.991
E000000186,U000070,S0070-20250101-89,2025-01-01 04:23:00,view,P000005,Electronics,298.98,0.139,275.51,108,4.06,409,WA,mobile,new wireless electronics,57,1,0,0,0,0,0.991
E000000651,U000073,S0073-20250101-69,2025-01-01 05:59:00,search,P000021,Sports,38.68,0.115,36.01,670,4.31,88,NC,mobile,new outdoor sports,17,1,0,0,0,0,0.991
E000000392,U000024,S0024-20250101-04,2025-01-01 06:48:00,click,P000003,Grocery,16.87,0.274,18.14,409,4.21,149,CO,desktop,premium pantry grocery,79,1,0,0,0,0,0.991
E000000263,U000013,S0013-20250101-69,2025-01-01 08:54:00,view,P000020,Beauty,70.21,0.049,74.19,674,3.63,139,FL,mobile,best refillable beauty,20,1,0,0,0,0,0.991
E000000417,U000035,S0035-20250101-29,2025-01-01 09:04:00,click,P000029,Electronics,245.14,0.069,256.0,239,4.42,229,NC,mobile,near me high resolution electronics,24,3,0,0,0,0,0.991
E000000564,U000030,S0030-20250101-79,2025-01-01 09:59:00,purchase,P000011,Home,156.14,0.028,154.73,491,3.98,152,IL,desktop,best compact home,58,1,1,0,0,0,0.991
E000000065,U000049,S0049-20250101-65,2025-01-01 10:19:00,click,P000005,Electronics,298.98,0.011,306.27,72,4.06,409,IL,mobile,fast shipping high resolution electronics,117,49,0,0,0,0,0.991
E000000731,U000042,S0042-20250101-52,2025-01-01 10:20:00,view,P000020,Beauty,70.21,0.142,73.67,746,3.63,139,AZ,mobile,fast shipping clean formula beauty,40,4,0,0,0,0,0.991
E000000561,U000034,S0034-20250101-76,2025-01-01 11:33:00,click,P000030,Beauty,39.64,0.207,37.94,782,4.41,157,WA,tablet,new hydrating beauty,62,2,0,0,1,0,0.991
E000000106,U000043,S0043-20250101-09,2025-01-01 11:51:00,view,P000017,Fashion,39.76,0.131,36.23,743,4.11,280,WA,desktop,fast shipping premium cotton fashion,80,1,0,0,0,0,0.991
E000000677,U000044,S0044-20250101-95,2025-01-01 11:51:00,click,P000003,Grocery,16.87,0.059,17.62,373,4.21,149,AZ,tablet,premium family size grocery,62,3,0,0,0,0,0.991
E000000060,U000065,S0065-20250101-60,2025-01-01 12:01:00,click,P000011,Home,156.14,0.064,146.08,509,3.98,152,CA,tablet,discount compact home,32,1,0,0,0,0,0.991
E000000534,U000057,S0057-20250101-49,2025-01-01 12:05:00,search,P000037,Electronics,370.04,0.066,349.79,856,3.93,113,NC,desktop,fast shipping high resolution electronics,83,3,0,0,0,0,0.991
E000000719,U000050,S0050-20250101-40,2025-01-01 12:11:00,click,P000012,Grocery,13.35,0.042,13.23,757,3.94,109,CA,mobile,best high protein grocery,52,1,0,0,0,0,0.991
E000000339,U000017,S0017-20250101-48,2025-01-01 12:59:00,view,P000022,Home,108.23,0.144,104.07,904,3.83,252,FL,mobile,near me energy saving home,58,1,0,0,1,0,0.991
E000000403,U000058,S0058-20250101-15,2025-01-01 13:33:00,click,P000017,Fashion,39.76,0.053,37.77,773,4.11,280,AZ,mobile,premium streetwear fashion,28,5,0,0,0,0,0.991
E000000265,U000077,S0077-20250101-71,2025-01-01 13:40:00,purchase,P000019,Sports,70.52,0.184,65.06,484,4.49,464,CO,desktop,new recovery sports,24,1,1,0,0,0,0.991
E000000288,U000061,S0061-20250101-94,2025-01-01 15:14:00,view,P000038,Fashion,67.55,0.024,65.28,328,3.54,137,AZ,mobile,fast shipping tailored fashion,61,743,0,0,0,0,0.991
E000000368,U000037,S0037-20250101-77,2025-01-01 15:15:00,purchase,P000012,Grocery,13.35,0.131,14.57,744,3.94,109,CA,tablet,premium family size grocery,50,1,1,0,0,0,0.991
E000000089,U000058,S0058-20250101-89,2025-01-01 15:20:00,search,P000017,Fashion,39.76,0.062,38.34,783,4.11,280,AZ,mobile,discount streetwear fashion,36,10,0,0,0,0,0.991
E000000466,U000080,S0080-20250101-78,2025-01-01 15:56:00,add_to_cart,P000009,Electronics,701.08,0.097,577.02,509,4.32,151,CO,mobile,fast shipping wireless electronics,43,2,0,0,0,0,0.991
E000000108,U000019,S0019-20250101-11,2025-01-01 15:59:00,view,P000002,Fashion,49.43,0.086,52.26,468,4.57,590,TX,mobile,new classic fashion,16,1,0,0,0,0,0.991
E000000191,U000075,S0075-20250101-94,2025-01-01 16:45:00,view,P000015,Fashion,41.47,0.157,35.08,428,4.09,348,NC,mobile,fast shipping seasonal fashion,23,4,0,0,0,0,0.991
E000000094,U000072,S0072-20250101-94,2025-01-01 18:09:00,purchase,P000027,Fashion,46.43,0.072,47.76,503,4.72,328,NC,mobile,new streetwear fashion,11,1,1,0,0,0,0.991
E000000353,U000036,S0036-20250101-62,2025-01-01 18:30:00,view,P000027,Fashion,46.43,0.162,50.03,535,4.72,328,TX,mobile,best premium cotton fashion,28,42,0,0,0,0,0.991
E000000661,U000053,S0053-20250101-79,2025-01-01 18:56:00,click,P000001,Sports,100.43,0.119,101.13,727,4.25,369,WA,mobile,fast shipping recovery sports,75,1,0,0,0,0,0.991
E000000149,U000056,S0056-20250101-52,2025-01-01 20:22:00,click,P000019,Sports,70.52,0.182,70.76,448,4.49,464,TX,desktop,premium training sports,24,1,0,0,1,0,0.991
E000000777,U000017,S0017-20250101-01,2025-01-01 20:32:00,search,P000037,Electronics,370.04,0.128,359.26,781,3.93,113,FL,mobile,discount high resolution electronics,32,1,0,0,0,0,0.991
E000000366,U000012,S0012-20250101-75,2025-01-01 22:07:00,search,P000029,Electronics,245.14,0.375,271.19,176,4.42,229,GA,tablet,top rated gaming electronics,118,4,0,0,1,0,0.991
E000000760,U000009,S0009-20250101-81,2025-01-01 22:12:00,search,P000001,Sports,100.43,0.273,94.16,785,4.25,369,NY,mobile,new recovery sports,55,1,0,0,0,0,0.991
E000000212,U000050,S0050-20250101-18,2025-01-01 23:12:00,view,P000005,Electronics,298.98,0.074,275.25,125,4.06,409,CA,mobile,best smart electronics,92,1,0,0,0,0,0.991
E000000567,U000027,S0027-20250101-82,2025-01-01 23:38:00,search,P000014,Sports,65.15,0.154,65.88,336,3.52,257,CO,desktop,near me recovery sports,39,4,0,0,0,0,0.991
E000000240,U000058,S0058-20250101-46,2025-01-01 23:58:00,click,P000027,Fashion,46.43,0.207,44.61,476,4.72,328,AZ,mobile,near me seasonal fashion,59,6,0,0,0,0,0.991
E000000156,U000076,S0076-20250102-59,2025-01-02 00:00:00,click,P000003,Grocery,16.87,0.086,19.14,385,4.21,149,FL,desktop,top rated family size grocery,104,1,0,0,0,0,0.991
E000000580,U000025,S0025-20250102-95,2025-01-02 00:13:00,view,P000014,Sports,65.15,0.088,,327,3.52,257,GA,mobile,best lightweight sports,4,1,0,0,0,0,0.991
E000000785,U000039,S0039-20250102-09,2025-01-02 00:28:00,click,P000015,Fashion,41.47,0.027,42.41,349,4.09,348,FL,desktop,new streetwear fashion,42,3,0,0,0,0,0.991
E000000393,U000004,S0004-20250102-05,2025-01-02 01:20:00,view,P000003,Grocery,16.87,0.042,19.04,462,4.21,149,FL,desktop,best fresh grocery,60,3,0,0,0,0,0.991
E000000694,U000023,S0023-20250102-15,2025-01-02 01:46:00,add_to_cart,P000020,Beauty,70.21,0.014,66.89,775,3.63,139,WA,desktop,premium clean formula beauty,41,1,0,0,0,0,0.991
E000000593,U000047,S0047-20250102-11,2025-01-02 02:01:00,view,P000001,Sports,100.43,0.159,103.52,766,4.25,369,NC,desktop,best training sports,90,17,0,0,0,0,0.991
