product_id,inventory_level,reorder_point,supplier_lead_time,stockout_flag,demand_forecast,inventory_risk
P000001,759,16,20,0,15.6,normal
P000002,517,30,12,0,27.49,normal
P000003,397,29,7,0,22.83,normal
P000004,155,14,2,0,16.8,normal
P000005,82,28,9,0,34.25,normal
P000006,569,21,18,0,22.56,normal
P000007,69,10,3,0,15.36,normal
P000008,745,17,12,0,14.97,normal
P000009,564,26,5,0,22.53,normal
P000010,472,17,9,0,20.34,normal
P000011,455,22,20,0,19.74,normal
P000012,726,29,7,0,21.31,normal
P000013,667,26,4,0,21.01,normal
P000014,344,10,12,0,9.3,normal
P000015,416,20,2,0,17.8,normal
P000016,767,23,9,0,21.58,normal
P000017,745,29,4,0,24.4,normal
P000018,338,20,17,0,18.78,normal
P000019,458,18,11,0,19.81,normal
P000020,706,14,7,0,15.16,normal
P000021,659,16,3,0,20.41,normal
P000022,843,13,8,0,19.66,normal
P000023,653,15,8,0,20.93,normal
P000024,755,28,19,0,32.41,normal
P000025,606,13,12,0,12.27,normal
P000026,183,17,3,0,18.99,normal
P000027,492,31,2,0,28.18,normal
P000028,258,20,17,0,20.01,normal
P000029,230,17,9,0,21.09,normal
P000030,722,14,8,0,16.28,normal
P000031,463,19,2,0,18.6,normal
P000032,478,31,3,0,25.08,normal
P000033,182,11,13,0,9.58,normal
P000034,63,16,16,0,15.95,normal
P000035,242,19,18,0,17.46,normal
P000036,436,13,13,0,17.95,normal
P000037,789,10,10,0,15.63,normal
P000038,342,12,9,0,13.1,normal
P000039,238,13,10,0,13.42,normal
P000040,315,19,10,0,19.11,normal
