user_id,user_location,device_type,user_segment,signup_date,loyalty_tier,home_location,preferred_device,favorite_category,category_affinity,discount_sensitivity,value_tier,signup_age_days
U000001,CO,mobile,mid_market,2023-05-25,silver,CA,mobile,Sports,"{'Electronics': np.float64(0.0543), 'Home': np.float64(0.2064), 'Fashion': np.float64(0.1989), 'Beauty': np.float64(0.0719), 'Sports': np.float64(0.2467), 'Grocery': np.float64(0.2218)}",0.686,mid_market,434
U000002,IL,tablet,budget,2023-10-01,silver,CO,mobile,Sports,"{'Electronics': np.float64(0.1403), 'Home': np.float64(0.3416), 'Fashion': np.float64(0.0822), 'Beauty': np.float64(0.0259), 'Sports': np.float64(0.3604), 'Grocery': np.float64(0.0497)}",0.392,budget,626
U000003,NY,mobile,mid_market,2024-09-04,bronze,IL,mobile,Beauty,"{'Electronics': np.float64(0.0162), 'Home': np.float64(0.198), 'Fashion': np.float64(0.1817), 'Beauty': np.float64(0.3958), 'Sports': np.float64(0.0273), 'Grocery': np.float64(0.1809)}",0.72,mid_market,1243
U000004,NC,mobile,mid_market,2023-07-08,bronze,FL,desktop,Electronics,"{'Electronics': np.float64(0.3476), 'Home': np.float64(0.0205), 'Fashion': np.float64(0.2332), 'Beauty': np.float64(0.0757), 'Sports': np.float64(0.0882), 'Grocery': np.float64(0.2347)}",0.53,mid_market,203
U000005,CO,tablet,mid_market,2023-12-11,bronze,GA,mobile,Sports,"{'Electronics': np.float64(0.225), 'Home': np.float64(0.3111), 'Fashion': np.float64(0.0012), 'Beauty': np.float64(0.1153), 'Sports': np.float64(0.3347), 'Grocery': np.float64(0.0127)}",0.343,mid_market,1171
U000006,NY,mobile,mid_market,2025-10-26,silver,CA,mobile,Grocery,"{'Electronics': np.float64(0.1988), 'Home': np.float64(0.2615), 'Fashion': np.float64(0.1862), 'Beauty': np.float64(0.0013), 'Sports': np.float64(0.0013), 'Grocery': np.float64(0.3509)}",0.485,mid_market,253
U000007,TX,mobile,premium,2026-03-29,bronze,NC,mobile,Beauty,"{'Electronics': np.float64(0.0353), 'Home': np.float64(0.1187), 'Fashion': np.float64(0.3386), 'Beauty': np.float64(0.3645), 'Sports': np.float64(0.1136), 'Grocery': np.float64(0.0293)}",0.221,premium,1259
U000008,AZ,desktop,premium,2024-10-05,bronze,FL,mobile,Fashion,"{'Electronics': np.float64(0.0695), 'Home': np.float64(0.1881), 'Fashion': np.float64(0.458), 'Beauty': np.float64(0.2036), 'Sports': np.float64(0.0775), 'Grocery': np.float64(0.0033)}",0.381,premium,1384
U000009,CA,desktop,budget,2025-07-05,bronze,NY,mobile,Electronics,"{'Electronics': np.float64(0.453), 'Home': np.float64(0.1462), 'Fashion': np.float64(0.121), 'Beauty': np.float64(0.072), 'Sports': np.float64(0.1638), 'Grocery': np.float64(0.0441)}",0.305,budget,1410
U000010,GA,mobile,premium,2025-05-10,gold,WA,mobile,Electronics,"{'Electronics': np.float64(0.4722), 'Home': np.float64(0.1023), 'Fashion': np.float64(0.0416), 'Beauty': np.float64(0.3111), 'Sports': np.float64(0.0195), 'Grocery': np.float64(0.0534)}",0.355,premium,1269
U000011,TX,tablet,premium,2022-06-12,platinum,WA,mobile,Electronics,"{'Electronics': np.float64(0.3947), 'Home': np.float64(0.0839), 'Fashion': np.float64(0.1495), 'Beauty': np.float64(0.0853), 'Sports': np.float64(0.1727), 'Grocery': np.float64(0.1138)}",0.425,premium,108
U000012,AZ,mobile,budget,2022-08-12,gold,GA,mobile,Electronics,"{'Electronics': np.float64(0.5722), 'Home': np.float64(0.0475), 'Fashion': np.float64(0.105), 'Beauty': np.float64(0.0198), 'Sports': np.float64(0.1509), 'Grocery': np.float64(0.1045)}",0.139,budget,149
U000013,FL,mobile,mid_market,2024-04-12,silver,FL,mobile,Beauty,"{'Electronics': np.float64(0.0633), 'Home': np.float64(0.2498), 'Fashion': np.float64(0.0869), 'Beauty': np.float64(0.3683), 'Sports': np.float64(0.0725), 'Grocery': np.float64(0.1591)}",0.166,mid_market,774
U000014,WA,mobile,mid_market,2024-03-22,platinum,TX,desktop,Fashion,"{'Electronics': np.float64(0.1632), 'Home': np.float64(0.175), 'Fashion': np.float64(0.4955), 'Beauty': np.float64(0.086), 'Sports': np.float64(0.0329), 'Grocery': np.float64(0.0474)}",0.379,mid_market,1179
U000015,NY,mobile,premium,2025-03-17,silver,GA,mobile,Beauty,"{'Electronics': np.float64(0.0183), 'Home': np.float64(0.2481), 'Fashion': np.float64(0.0703), 'Beauty': np.float64(0.2688), 'Sports': np.float64(0.2525), 'Grocery': np.float64(0.1421)}",0.452,premium,190
U000016,NY,desktop,mid_market,2022-10-22,platinum,IL,desktop,Home,"{'Electronics': np.float64(0.1965), 'Home': np.float64(0.2953), 'Fashion': np.float64(0.0437), 'Beauty': np.float64(0.1755), 'Sports': np.float64(0.112), 'Grocery': np.float64(0.177)}",0.398,mid_market,767
U000017,FL,desktop,budget,2023-09-10,silver,FL,mobile,Home,"{'Electronics': np.float64(0.2149), 'Home': np.float64(0.3504), 'Fashion': np.float64(0.0737), 'Beauty': np.float64(0.1006), 'Sports': np.float64(0.2236), 'Grocery': np.float64(0.0369)}",0.213,budget,33
U000018,CA,tablet,mid_market,2025-01-20,bronze,IL,mobile,Electronics,"{'Electronics': np.float64(0.5889), 'Home': np.float64(0.0068), 'Fashion': np.float64(0.0388), 'Beauty': np.float64(0.0356), 'Sports': np.float64(0.0469), 'Grocery': np.float64(0.283)}",0.845,mid_market,988
U000019,CA,desktop,premium,2023-05-21,gold,TX,mobile,Home,"{'Electronics': np.float64(0.092), 'Home': np.float64(0.3015), 'Fashion': np.float64(0.2802), 'Beauty': np.float64(0.0382), 'Sports': np.float64(0.0874), 'Grocery': np.float64(0.2007)}",0.201,premium,694
U000020,AZ,mobile,mid_market,2025-11-09,platinum,NY,mobile,Electronics,"{'Electronics': np.float64(0.4268), 'Home': np.float64(0.1478), 'Fashion': np.float64(0.1683), 'Beauty': np.float64(0.0187), 'Sports': np.float64(0.2363), 'Grocery': np.float64(0.0021)}",0.115,mid_market,281
U000021,NY,desktop,mid_market,2023-08-14,platinum,CA,mobile,Electronics,"{'Electronics': np.float64(0.3778), 'Home': np.float64(0.0439), 'Fashion': np.float64(0.1361), 'Beauty': np.float64(0.1652), 'Sports': np.float64(0.2568), 'Grocery': np.float64(0.0202)}",0.168,mid_market,1439
U000022,TX,desktop,mid_market,2024-05-20,bronze,WA,mobile,Electronics,"{'Electronics': np.float64(0.3769), 'Home': np.float64(0.2027), 'Fashion': np.float64(0.2467), 'Beauty': np.float64(0.0025), 'Sports': np.float64(0.0368), 'Grocery': np.float64(0.1343)}",0.186,mid_market,1266
U000023,CA,mobile,mid_market,2025-12-12,gold,WA,desktop,Beauty,"{'Electronics': np.float64(0.1737), 'Home': np.float64(0.0439), 'Fashion': np.float64(0.2054), 'Beauty': np.float64(0.3009), 'Sports': np.float64(0.2247), 'Grocery': np.float64(0.0514)}",0.516,mid_market,374
U000024,TX,mobile,mid_market,2024-07-20,gold,CO,desktop,Home,"{'Electronics': np.float64(0.1611), 'Home': np.float64(0.572), 'Fashion': np.float64(0.0032), 'Beauty': np.float64(0.1931), 'Sports': np.float64(0.0108), 'Grocery': np.float64(0.0597)}",0.445,mid_market,1404
U000025,TX,mobile,mid_market,2023-01-24,bronze,GA,mobile,Sports,"{'Electronics': np.float64(0.0638), 'Home': np.float64(0.1839), 'Fashion': np.float64(0.0317), 'Beauty': np.float64(0.2239), 'Sports': np.float64(0.4257), 'Grocery': np.float64(0.0709)}",0.219,mid_market,393
U000026,IL,desktop,mid_market,2025-07-18,bronze,NC,mobile,Beauty,"{'Electronics': np.float64(0.0447), 'Home': np.float64(0.0572), 'Fashion': np.float64(0.1902), 'Beauty': np.float64(0.4695), 'Sports': np.float64(0.032), 'Grocery': np.float64(0.2063)}",0.469,mid_market,147
U000027,IL,mobile,budget,2023-11-17,gold,CO,desktop,Home,"{'Electronics': np.float64(0.285), 'Home': np.float64(0.3034), 'Fashion': np.float64(0.1687), 'Beauty': np.float64(0.0119), 'Sports': np.float64(0.1093), 'Grocery': np.float64(0.1217)}",0.863,budget,1087
U000028,NY,mobile,budget,2025-07-21,gold,CA,mobile,Fashion,"{'Electronics': np.float64(0.3335), 'Home': np.float64(0.0468), 'Fashion': np.float64(0.3739), 'Beauty': np.float64(0.1401), 'Sports': np.float64(0.0307), 'Grocery': np.float64(0.075)}",0.559,budget,850
U000029,FL,desktop,budget,2025-08-29,bronze,NC,mobile,Grocery,"{'Electronics': np.float64(0.1391), 'Home': np.float64(0.1897), 'Fashion': np.float64(0.0087), 'Beauty': np.float64(0.0597), 'Sports': np.float64(0.1691), 'Grocery': np.float64(0.4336)}",0.201,budget,312
U000030,TX,mobile,mid_market,2022-12-19,silver,IL,desktop,Fashion,"{'Electronics': np.float64(0.3057), 'Home': np.float64(0.0731), 'Fashion': np.float64(0.4885), 'Beauty': np.float64(0.0076), 'Sports': np.float64(0.125), 'Grocery': np.float64(0.0001)}",0.26,mid_market,12
U000031,TX,desktop,budget,2025-11-30,silver,NY,tablet,Grocery,"{'Electronics': np.float64(0.0155), 'Home': np.float64(0.3271), 'Fashion': np.float64(0.0806), 'Beauty': np.float64(0.0993), 'Sports': np.float64(0.0522), 'Grocery': np.float64(0.4253)}",0.444,budget,814
U000032,WA,mobile,budget,2024-07-01,bronze,IL,mobile,Fashion,"{'Electronics': np.float64(0.0674), 'Home': np.float64(0.1014), 'Fashion': np.float64(0.3749), 'Beauty': np.float64(0.0429), 'Sports': np.float64(0.129), 'Grocery': np.float64(0.2844)}",0.277,budget,205
U000033,AZ,desktop,premium,2026-02-26,bronze,WA,mobile,Sports,"{'Electronics': np.float64(0.0111), 'Home': np.float64(0.3094), 'Fashion': np.float64(0.2228), 'Beauty': np.float64(0.0073), 'Sports': np.float64(0.3372), 'Grocery': np.float64(0.1121)}",0.57,premium,1300
U000034,TX,desktop,premium,2025-12-10,silver,WA,tablet,Beauty,"{'Electronics': np.float64(0.245), 'Home': np.float64(0.1558), 'Fashion': np.float64(0.1918), 'Beauty': np.float64(0.3314), 'Sports': np.float64(0.0589), 'Grocery': np.float64(0.017)}",0.146,premium,1196
U000035,WA,mobile,budget,2023-04-01,platinum,NC,mobile,Beauty,"{'Electronics': np.float64(0.1919), 'Home': np.float64(0.0928), 'Fashion': np.float64(0.186), 'Beauty': np.float64(0.2695), 'Sports': np.float64(0.1389), 'Grocery': np.float64(0.1209)}",0.369,budget,883
U000036,NC,desktop,mid_market,2023-11-20,platinum,TX,mobile,Home,"{'Electronics': np.float64(0.237), 'Home': np.float64(0.5603), 'Fashion': np.float64(0.1036), 'Beauty': np.float64(0.0034), 'Sports': np.float64(0.0068), 'Grocery': np.float64(0.0889)}",0.458,mid_market,504
U000037,NC,mobile,budget,2025-11-22,silver,CA,mobile,Electronics,"{'Electronics': np.float64(0.5433), 'Home': np.float64(0.1974), 'Fashion': np.float64(0.0681), 'Beauty': np.float64(0.012), 'Sports': np.float64(0.0956), 'Grocery': np.float64(0.0837)}",0.457,budget,734
U000038,IL,desktop,mid_market,2023-10-22,silver,FL,desktop,Fashion,"{'Electronics': np.float64(0.2935), 'Home': np.float64(0.1229), 'Fashion': np.float64(0.3285), 'Beauty': np.float64(0.0026), 'Sports': np.float64(0.0589), 'Grocery': np.float64(0.1935)}",0.368,mid_market,503
U000039,NC,mobile,premium,2025-09-15,bronze,FL,desktop,Electronics,"{'Electronics': np.float64(0.39), 'Home': np.float64(0.0383), 'Fashion': np.float64(0.3493), 'Beauty': np.float64(0.1806), 'Sports': np.float64(0.0307), 'Grocery': np.float64(0.0111)}",0.616,premium,764
